,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
80,Sur,OM,22.5667,59.5289,81.45,57,0,7.43,clear sky
81,Bereda,ES,43.2686,-7.5406,60.42,100,100,7.4,overcast clouds
82,Abnub,EG,27.2696,31.1511,75.63,45,0,9.22,clear sky
83,Isiolo,KE,0.3546,37.5822,67.69,74,34,9.33,scattered clouds
84,Dossor,KZ,47.5272,52.9811,57.87,23,72,16.78,broken clouds
85,Tessalit,ML,20.1986,1.0114,89.6,14,73,10.04,broken clouds
86,Krasnoselkup,RU,65.7,82.4667,32.36,94,100,5.99,overcast clouds
87,Hurghada,EG,27.2574,33.8129,79.0,56,0,12.64,clear sky
88,Emba,KZ,48.8264,58.1442,49.64,19,99,8.79,overcast clouds
89,Adrar,MR,20.5022,-10.0711,91.18,14,3,16.22,clear sky
90,Egersund,NO,58.4513,5.9997,51.39,83,81,11.81,light rain
91,Platanos,GR,37.6667,21.6167,63.09,70,7,6.17,clear sky
92,Bela,IN,25.9333,81.9833,72.72,95,100,13.24,overcast clouds
93,Pachino,IT,36.7186,15.0907,69.71,60,31,3.67,scattered clouds
94,Longyearbyen,SJ,78.2186,15.6401,39.04,75,20,14.97,few clouds
95,Atbasar,KZ,51.8,68.3333,46.98,41,95,5.66,overcast clouds
96,Dera Bugti,PK,29.0307,69.151,79.14,31,0,7.0,clear sky
97,Jam Sahib,PK,26.2958,68.6292,82.67,45,0,8.34,clear sky
98,Zarechnyy,RU,53.2036,45.1923,47.28,82,95,8.21,overcast clouds
99,Dudinka,RU,69.4058,86.1778,27.32,93,100,3.83,overcast clouds
100,Pangody,RU,65.85,74.4859,31.35,90,33,6.64,scattered clouds
101,Tabas,IR,33.5959,56.9244,72.73,19,0,4.76,clear sky
102,Erba,IT,45.8096,9.2312,61.16,88,17,4.52,few clouds
103,Dhidhdhoo,MV,6.8833,73.1,81.0,79,100,18.3,overcast clouds
104,Zhezkazgan,KZ,47.8043,67.7144,45.0,33,2,7.72,clear sky
105,Misratah,LY,32.3754,15.0925,73.65,62,25,11.63,scattered clouds
106,Ilovlya,RU,49.3033,43.9796,53.98,64,37,9.28,scattered clouds
107,Macon,US,39.8667,-88.9668,66.87,48,0,4.61,clear sky
108,Bafoussam,CM,5.4737,10.4179,59.52,97,100,2.82,overcast clouds
109,Rudnichnyy,RU,59.617,52.4703,42.21,86,100,5.91,overcast clouds
110,Tukrah,LY,32.5341,20.5791,72.03,67,0,15.28,clear sky
111,Lerwick,GB,60.1545,-1.1494,51.8,79,79,30.65,broken clouds
112,Belokurikha,RU,51.9959,84.9896,43.52,89,100,3.42,light rain
113,Urumqi,CN,43.801,87.6005,41.95,61,0,2.24,clear sky
114,Felanitx,ES,39.4696,3.1483,66.96,79,71,4.59,broken clouds
115,Minab,IR,27.1467,57.0801,83.01,78,0,0.96,clear sky
116,Jibuti,DJ,11.5,42.5,79.63,63,47,6.02,scattered clouds
117,Kashi,CN,39.4547,75.9797,58.14,35,100,4.23,overcast clouds
118,Attur,IN,11.6,78.6167,75.69,86,99,5.17,moderate rain
119,Esna,EG,25.2934,32.554,84.47,27,27,9.51,scattered clouds
120,Jalalabad,AF,34.4265,70.4515,73.6,23,0,4.94,clear sky
121,Dawlatabad,AF,36.4141,64.9053,54.54,15,0,6.15,clear sky
122,Bobrovka,RU,54.047,61.7455,47.34,31,100,7.96,overcast clouds
123,Begunitsy,RU,59.5855,29.3176,49.59,98,100,8.12,overcast clouds
124,Vardo,NO,70.3705,31.1107,42.78,81,75,20.71,broken clouds
125,Linda,US,39.1277,-121.5508,92.73,34,0,4.61,clear sky
126,Suna,RU,57.8338,50.0588,44.49,94,100,9.35,overcast clouds
127,Manadhoo,MV,5.7667,73.3833,81.5,78,100,18.72,overcast clouds
128,Vokhma,RU,58.9303,46.7586,44.24,97,97,2.55,overcast clouds
129,Leh,IN,34.1667,77.5833,43.14,50,0,3.74,clear sky
130,Waddan,LY,29.1614,16.139,69.64,69,0,11.03,clear sky
131,Berovo,MK,41.7031,22.8578,44.08,70,96,3.02,overcast clouds
132,Bud,US,39.447,-86.1758,64.9,65,81,3.85,broken clouds
133,Damavand,IR,35.7178,52.065,57.97,37,0,3.94,clear sky
134,Aswan,EG,24.0934,32.907,87.3,25,62,12.8,broken clouds
135,Agra,IN,27.1833,78.0167,75.4,89,77,6.49,broken clouds
136,Sawakin,SD,19.1059,37.3321,84.52,60,1,5.79,clear sky
137,Kautokeino,NO,69.0125,23.0412,36.91,98,100,13.65,overcast clouds
138,Catanzaro,IT,38.8908,16.5987,58.75,58,55,3.53,broken clouds
139,Obo,CF,5.3998,26.4869,68.25,94,88,1.5,overcast clouds
140,Ouesso,CG,1.6136,16.0517,71.22,95,80,3.71,light rain
141,Havoysund,NO,70.9963,24.6622,44.83,87,99,17.6,overcast clouds
142,Dwarka,IN,22.2394,68.9678,80.94,71,4,11.07,clear sky
143,Srivardhan,IN,18.0333,73.0167,78.04,89,84,6.06,broken clouds
144,Faya,SA,18.3851,42.4509,68.52,31,25,5.86,scattered clouds
145,Kula,TR,38.5473,28.6498,48.18,74,0,4.38,clear sky
146,Ivanivka,UA,46.7208,34.553,53.83,63,100,5.44,overcast clouds
147,Vuyyuru,IN,16.3667,80.85,74.41,96,100,2.89,light rain
148,Abohar,IN,30.15,74.1833,74.48,42,0,5.26,clear sky
149,Port Blair,IN,11.6667,92.75,79.97,81,98,8.9,overcast clouds
150,Artyom,AZ,40.4723,50.333,69.94,82,2,19.42,clear sky
151,Derzhavinsk,KZ,51.1,66.3167,48.2,34,100,7.61,overcast clouds
152,Elk,PL,53.8282,22.3647,48.78,86,71,9.04,broken clouds
153,Yukhnov,RU,54.7444,35.2297,46.02,97,99,6.06,overcast clouds
154,Luba,GQ,3.4568,8.5547,76.89,87,69,5.37,light rain
155,Doha,QA,25.2867,51.5333,87.78,60,0,10.36,clear sky
156,Brezno,SK,48.8043,19.6363,48.31,86,100,1.79,overcast clouds
157,Liebenburg,DE,52.0218,10.4317,63.46,77,24,16.31,few clouds
158,Cabras,IT,39.93,8.5314,64.36,64,13,7.34,few clouds
159,Boden,SE,65.8252,21.6886,50.0,99,100,9.26,light rain
160,Xuddur,SO,4.1213,43.8894,71.98,82,70,13.06,broken clouds
161,Terebovlya,UA,49.3019,25.71,48.2,70,100,5.5,overcast clouds
162,Eydhafushi,MV,5.1033,73.0708,81.39,78,100,18.45,overcast clouds
163,Leningradskiy,RU,69.3833,178.4167,30.74,87,100,8.28,overcast clouds
164,Eyl,SO,7.9803,49.8164,77.2,81,100,13.11,overcast clouds
165,Baglung,NP,28.2719,83.5898,64.96,100,100,3.49,heavy intensity rain
166,Sayat,TM,38.7839,63.8803,52.02,29,0,11.25,clear sky
167,Nevers,FR,46.9167,3.3333,53.49,91,0,2.73,clear sky
168,Ornskoldsvik,SE,63.2909,18.7153,54.55,100,100,19.57,moderate rain
169,Chiari,IT,45.5359,9.9304,63.9,10,31,3.11,scattered clouds
170,Rovaniemi,FI,66.5,25.7167,45.81,100,100,12.66,light intensity drizzle
171,Dalen,NL,52.6992,6.7556,57.31,87,71,10.0,broken clouds
172,Rognan,NO,67.0953,15.3878,50.14,92,100,8.1,light rain
173,Gayeri,BF,12.6497,0.4931,81.09,65,29,2.64,scattered clouds
174,Balkanabat,TM,39.5108,54.3671,70.48,10,0,10.13,clear sky
175,Belyy Yar,RU,53.6039,91.3903,37.29,81,0,6.71,clear sky
176,Inta,RU,66.0317,60.1659,41.97,93,100,4.03,light rain
177,Kidal,ML,18.4411,1.4078,91.04,15,0,11.05,clear sky
178,Darnah,LY,32.767,22.6367,71.58,68,6,9.17,clear sky
179,Krasnaya Gora,RU,52.9995,31.6023,47.79,94,100,7.94,overcast clouds
180,Koson,UZ,39.0375,65.585,50.32,25,0,10.51,clear sky
181,Agadez,NE,19.75,10.25,83.26,22,4,14.16,clear sky
182,Waw,SS,7.7029,27.9953,70.75,98,93,2.26,overcast clouds
183,Berbera,SO,10.4396,45.0143,86.29,70,90,2.89,overcast clouds
184,Tazovskiy,RU,67.4667,78.7,32.83,86,100,4.88,overcast clouds
185,Novyy Urengoy,RU,66.0833,76.6333,31.53,76,79,4.45,broken clouds
186,Zamardi,HU,46.8849,17.9537,55.94,68,94,1.99,overcast clouds
187,Kushmurun,KZ,52.4503,64.6311,49.05,27,100,7.45,overcast clouds
188,Luza,RU,60.6308,47.2512,45.55,94,100,5.26,overcast clouds
189,Mincivan,AZ,39.0294,46.7185,66.36,75,9,1.43,clear sky
190,Perelyub,RU,51.8667,50.3667,53.98,93,100,8.1,light rain
191,Yenagoa,NG,4.9247,6.2642,74.8,95,74,4.45,moderate rain
192,Sabzevar,IR,36.2126,57.6819,62.33,21,0,9.08,clear sky
193,Ljungby,SE,56.8332,13.9408,55.98,84,100,16.87,overcast clouds
194,Kuusamo,FI,65.9667,29.1833,44.64,93,100,14.97,light intensity drizzle
